,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
21,3.18.0,1622851140199,7 hours ago,0.4091250234,0.6157661837,0.3077957189,0.3333333333,0.0004716185,,,,,,,
22,3.18.0,1622851171491,7 hours ago,0.4081949797,0.6122274083,0.3081716873,0.3333333333,0.0004660432,,,,,,,
23,3.18.0,1622851194078,7 hours ago,0.4072294769,0.6028466688,0.3134537417,0.3333333333,0.00046602337,,,,,,,
24,3.18.0,1622851155044,7 hours ago,0.407378994,0.6091590491,0.3084703216,0.3333333333,0.0004544242,,,,,,,
25,3.18.0,1622851145604,7 hours ago,0.4061952462,0.6004068166,0.3125900987,0.3333333333,0.00044796453,,,,,,,
26,1.0.1,1605859996794,7 months ago,0.421668657,0.8457174929,0.1508100043,0.3290568788,0.00042695692,,,,,,,
27,3.18.0,1622851145631,7 hours ago,0.4052453077,0.6028466688,0.3077846869,0.3333333333,0.00042694778,,,,,,,
28,3.18.0,1622851145626,7 hours ago,0.4098329199,0.6165996406,0.3091038888,0.3333333333,0.00042185918,,,,,,,
29,3.18.0,1622851186172,7 hours ago,0.4054532369,0.604274238,0.3071551396,0.3333333333,0.00042053068,,,,,,,
30,3.18.0,1622851176934,7 hours ago,0.4110018567,0.6165996406,0.3124437082,0.3333333333,0.00041332858,,,,,,,
31,3.18.0,1622851160465,7 hours ago,0.407496769,0.6097510732,0.3082993726,0.3333333333,0.0004038327,,,,,,,
32,3.18.0,1622851160462,7 hours ago,0.406701687,0.6075109102,0.3079478494,0.3333333333,0.00039264126,,,,,,,
33,3.18.0,1622851165769,7 hours ago,0.4065256865,0.6067514782,0.3080959325,0.3333333333,0.00039082166,,,,,,,
34,3.18.0,1622851190240,7 hours ago,0.4093275851,0.6165996406,0.3076600748,0.3333333333,0.00038412976,,,,,,,
35,3.2.0,1621577267612,15 days ago,0.4501908557,0.9558719513,0.1336074391,0.3333333333,0.0003620806,,,,,,,
36,3.18.0,1622851171358,7 hours ago,0.4020421607,0.6100456925,0.2924622466,0.3333333333,0.0003571416,,,,,,,
37,4.3.8,1622442636987,5 days ago,0.4524263878,0.9440889992,0.1500943468,0.3333333333,0.0003347359,,,,,,,
38,3.18.0,1622851123469,7 hours ago,0.4062725502,0.605211946,0.3086922849,0.3333333333,0.00033429757,,,,,,,
39,3.18.0,1622851155078,7 hours ago,0.4057870472,0.6044312805,0.3079742754,0.3333333333,0.00032825492,,,,,,,
40,3.18.0,1622851129228,7 hours ago,0.4093283761,0.6165996406,0.3076623351,0.3333333333,0.0003271907,10362,20,2,,,,
41,3.18.0,1622851129202,7 hours ago,0.4092322199,0.6165996406,0.3073876031,0.3333333333,0.00032581296,,,,,,,
42,3.18.0,1622851176771,7 hours ago,0.4052813002,0.6012289289,0.3092741567,0.3333333333,0.00032525574,,,,,,,
43,3.18.0,1622851171520,7 hours ago,0.4054315073,0.6036429567,0.3076341532,0.3333333333,0.00032418166,,,,,,,
44,3.18.0,1622851176935,7 hours ago,0.404797267,0.6028466688,0.3065045704,0.3333333333,0.00031623695,,,,,,,
45,3.1.0,1609887017500,5 months ago,0.4183009431,0.8457174929,0.1386371486,0.3316076948,0.00031215945,,,,,,,
46,1.107.0,1622661862959,2 days ago,0.3775919228,0.4843138156,0.330374604,0.3333333333,0.00027474228,,,,,,,
47,1.6.2,1622828848368,13 hours ago,0.428597834,0.9162258647,0.1178344615,0.3213943231,0.00023711499,,,,,,,
48,3.4.0,1607296207345,6 months ago,0.388453883,0.6248119648,0.2412921695,0.333022955,0.00023123182,,,,,,,
49,0.19.1,1619292215460,,0.4235143655,0.7813344727,0.2069924487,0.3333333333,0.00023064257,,,,,,,
50,4.0.2,1618091223145,2 months ago,0.3983036347,0.7543901023,0.1631061687,0.3282841285,0.00022694013,,,,,,,
51,5.0.2,1622153087149,8 days ago,0.4208399555,0.821008018,0.1653558591,0.3333228556,0.00021824882,,,,,,,
52,3.18.0,1622851180736,7 hours ago,0.3868828532,0.6165996406,0.2435322694,0.3333333333,0.0002182221,,,,,,,
53,1.7.11,1622199388908,8 days ago,0.4109209373,0.8640239696,0.1001345138,0.3333333333,0.00021076857,,,,,,,
54,4.0.3,1622070053829,9 days ago,0.3774100081,0.5244314341,0.2954683178,0.3333333333,0.00020871886,,,,,,,
55,1.107.0,1622662579082,2 days ago,0.3697309183,0.5090232905,0.2867350414,0.3333333333,0.00020371807,,,,,,,
56,3.3.3,1620929539780,23 days ago,0.4003872592,0.7652694538,0.1560005586,0.3320177931,0.00020293583,,,,,,,
